base_policy,restriction,path_id,training_seed,period_offset,proposal_source,selected,rejected,nested_objective,solver_valid,solver_failure,used_fallback,common_scenario_path_ids,common_kernel
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,16,SAC,False,True,23721.627186142694,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,17,BC,True,False,25295.471200222215,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,17,SAC,False,True,26224.369932719957,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,18,BC,True,False,21443.83654142188,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,18,SAC,False,True,22289.288681477257,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,19,BC,True,False,18473.19481071081,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,19,SAC,False,True,19382.256531171348,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,20,BC,True,False,20685.291561600956,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,20,SAC,False,True,21517.420200962515,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,0,BC,False,True,96.52384312890416,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,0,SAC,True,False,42.43414843680124,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,1,BC,False,True,2630.342096635967,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,1,SAC,True,False,2593.1669856267035,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,2,BC,False,True,13032.355792158907,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,2,SAC,True,False,13009.391607254733,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,3,BC,False,True,16722.890000029434,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,3,SAC,True,False,16713.63468668183,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,4,BC,True,False,16885.36992375591,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,4,SAC,False,True,16945.742420158356,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,5,BC,True,False,15797.885767683336,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,5,SAC,False,True,16037.020982810722,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,6,BC,True,False,16170.81736070067,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,6,SAC,False,True,16488.938184322204,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,7,BC,True,False,14948.357235571082,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,7,SAC,False,True,15317.266956202453,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,8,BC,True,False,12080.756101773322,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,8,SAC,False,True,12444.645879154417,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,9,BC,True,False,14674.89603646275,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,9,SAC,False,True,15115.96581079509,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,10,BC,True,False,23764.032066343338,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,10,SAC,False,True,24280.941950650107,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,11,BC,True,False,19623.383017843393,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,11,SAC,False,True,20142.629016583844,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,12,BC,True,False,24550.95869036324,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,12,SAC,False,True,24965.212004438832,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,13,BC,True,False,20834.92985533152,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,13,SAC,False,True,21514.914798102618,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,14,BC,True,False,23969.766386403335,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,14,SAC,False,True,24612.68881976016,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,15,BC,True,False,27926.080563164738,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,15,SAC,False,True,28773.54135924996,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,16,BC,True,False,23209.121448928072,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,16,SAC,False,True,23936.443845423848,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,17,BC,True,False,25524.60533867235,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,17,SAC,False,True,26448.03853475184,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,18,BC,True,False,21634.003464097128,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,18,SAC,False,True,22476.335637644883,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,19,BC,True,False,18624.156505469608,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,19,SAC,False,True,19568.558912357716,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,20,BC,True,False,20825.602412602537,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,554911178,20,SAC,False,True,21660.553462793487,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,0,BC,False,True,94.65122461407175,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,0,SAC,True,False,42.119879467018436,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,1,BC,False,True,2628.930404295281,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,1,SAC,True,False,2593.0640274525695,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,2,BC,False,True,13030.35436309076,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,2,SAC,True,False,13009.561578356619,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,3,BC,False,True,16722.204167223434,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,3,SAC,True,False,16714.35779654232,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,4,BC,True,False,16883.83116945225,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,4,SAC,False,True,16946.964865089463,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,5,BC,True,False,15780.931085076261,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,5,SAC,False,True,16036.872569484889,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,6,BC,True,False,16129.348308618031,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,6,SAC,False,True,16472.79361760429,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,7,BC,True,False,14888.801835457454,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,7,SAC,False,True,15277.025622191379,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,8,BC,True,False,12002.888079660364,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,8,SAC,False,True,12397.554548902568,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,9,BC,True,False,14578.682049597097,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,9,SAC,False,True,15040.958213232025,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,10,BC,True,False,23629.631831814753,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,10,SAC,False,True,24185.189884999796,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,11,BC,True,False,19486.73903406496,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,11,SAC,False,True,20024.34464404783,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,12,BC,True,False,24402.149128086734,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,12,SAC,False,True,24841.204624833736,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,13,BC,True,False,20705.430269888486,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,13,SAC,False,True,21416.082978711907,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,14,BC,True,False,23827.714318559516,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,14,SAC,False,True,24497.261644349896,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,15,BC,True,False,27837.91692201896,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,15,SAC,False,True,28700.286036643018,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,16,BC,True,False,23096.244932793543,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,16,SAC,False,True,23860.277212069468,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,17,BC,True,False,25466.980331532675,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,17,SAC,False,True,26393.717893308352,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,18,BC,True,False,21547.93397452343,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,18,SAC,False,True,22424.129444731603,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,19,BC,True,False,18592.133300676815,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,19,SAC,False,True,19530.269594232268,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,20,BC,True,False,20759.850804365527,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,1600960620,20,SAC,False,True,21610.437527926402,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
