experiment,audit_id,policy,path_id,training_seed,maximum_difference,tolerance,status,detail
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_024_e90f261f99e2,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_025_0c3eeaae0824,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_026_770d47ae1768,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_027_df5d670513fa,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_028_e9fb02365dd3,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_029_b44f60718c5a,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_030_038f4c53d11f,,2.2737367544323206e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_031_0a6ff70351b5,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_032_efdf826e6bc3,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_033_de0c441dba67,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_034_a00d80b83640,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_035_51fd398978b7,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_036_7eb6ac1ca077,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_037_f096257ecaa4,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_038_b05abc6e01b3,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_039_9c0d1ebe6c19,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_040_11a8950c659e,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_041_e58f21dcc209,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_042_a77d2ece213a,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_043_f1174106175c,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_044_ed401c94714a,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_045_af7d3f616c1d,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_046_e35b743e6617,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_047_20c1f89391c1,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_048_eeaf6a6a0a15,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_049_343da3774e7e,,2.2737367544323206e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_050_1c7612d8bc63,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_051_5747c87e6d9a,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_052_9760565f31de,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_053_4473e6f72168,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_054_c66f0b1dacc4,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_055_f90330578051,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_056_b2c64046cef9,,7.105427357601002e-15,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_057_bf11b8e004e2,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_058_fbcfbffca03e,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_059_d22925a9593f,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_060_b3feb9e274c2,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_061_627abde70c26,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_062_0c9ea14e9507,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_063_44f0f2a191ef,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_064_27d69866b791,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_065_930038cc16e9,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_066_28fb87ba4913,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_067_4d46fa716471,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_068_93da1d4ae1ba,,2.842170943040401e-14,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_069_5b01ea54b2fa,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_070_0cd9bcac96c3,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_071_34f77888383f,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_072_8e59fac0e6c8,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_073_69349232969b,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_074_212affc962e2,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_075_8de4e41c7ad9,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_076_48339f21c8ec,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_077_b1f2e84dc844,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_078_367d379a9297,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_079_bce06ca59758,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_080_e669407a98d7,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_081_fbbd80304765,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_082_2cf496ac3a99,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_083_4cbdde5f376f,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_084_513eb18f351c,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_085_650c50514b66,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_086_754dc8e1ab0e,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_087_cbc79ee243dd,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_000_4ae657b9eeec,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_001_dde9993de777,,7.275957614183426e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_002_f01217ab0e79,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_003_eb3106001035,,2.2737367544323206e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_004_55a330aff5c4,,5.820766091346741e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_005_981c73a17708,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_006_daba4b1e9814,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_007_925513ee8ec6,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_008_fabe46a0ea00,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_009_c8ef87e47101,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_010_613ab99db82c,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_011_8a2e74b38d5d,,5.820766091346741e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_012_b6bdc05b20a7,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_013_040653995d85,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_014_f00647451070,,5.820766091346741e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_015_643a837775f9,,7.275957614183426e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_016_45a90ccef8bd,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_017_ebd333a3cdba,,7.275957614183426e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_018_9466cee538c9,,7.275957614183426e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_019_9d2b7462a57a,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_020_701c8d28bc45,,3.361026734705064e-17,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_021_69299bc5d0bf,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_022_1b3e72c80b5f,,9.996344030316351e-17,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_023_90a8af416c5a,,7.105427357601002e-15,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_024_e90f261f99e2,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_025_0c3eeaae0824,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_026_770d47ae1768,,5.820766091346741e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_027_df5d670513fa,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_028_e9fb02365dd3,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_029_b44f60718c5a,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_030_038f4c53d11f,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_031_0a6ff70351b5,,7.105427357601002e-15,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_032_efdf826e6bc3,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_033_de0c441dba67,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_034_a00d80b83640,,4.440892098500626e-16,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_035_51fd398978b7,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_036_7eb6ac1ca077,,5.820766091346741e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_037_f096257ecaa4,,5.820766091346741e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_038_b05abc6e01b3,,2.2737367544323206e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_039_9c0d1ebe6c19,,5.820766091346741e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_040_11a8950c659e,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_041_e58f21dcc209,,5.820766091346741e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_042_a77d2ece213a,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_043_f1174106175c,,7.275957614183426e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_044_ed401c94714a,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_045_af7d3f616c1d,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_046_e35b743e6617,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_047_20c1f89391c1,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_048_eeaf6a6a0a15,,2.2737367544323206e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_049_343da3774e7e,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_050_1c7612d8bc63,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_051_5747c87e6d9a,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_052_9760565f31de,,2.9103830456733704e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_053_4473e6f72168,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Constrained SAC,test_054_c66f0b1dacc4,,7.105427357601002e-15,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
