trace_type,module,input_path,sha256,recorded_acceptance_signal,independently_recalculated_here,upstream_hash_locked,status,detail,artifact,relative_path,expected_sha256,actual_sha256,hash_matches,failure_reason,observed_residual,tolerance
upstream_hash_lock,5.2.4,,,,,,PASS,,paired_effects.csv,output/5.2.4_released_risk_information_capacity_preparation/paired_effects.csv,EEB725ED582D7B6339D99246A7F189F6B18A795F5FCFAF3B6A4EAE2B3F09BFFB,EEB725ED582D7B6339D99246A7F189F6B18A795F5FCFAF3B6A4EAE2B3F09BFFB,True,,,
upstream_hash_lock,5.2.4,,,,,,PASS,,controller_manifest.csv,output/5.2.4_released_risk_information_capacity_preparation/controller_manifest.csv,F32ACDCC2D70A49E3FE9BA11F57132E161EDAB322D82E27AF3F013B149B5EEFA,F32ACDCC2D70A49E3FE9BA11F57132E161EDAB322D82E27AF3F013B149B5EEFA,True,,,
training_validation_test_disjoint,,,,,,,PASS,pairwise path_id overlap,,,,,,,0.0,0.0
matched_exogenous_path_hash_by_policy,,,,,,,PASS,expected 8 policies per physical path,,,,,,,0.0,0.0
matched_released_information_hash_by_policy,,,,,,,PASS,released information hash count minus one,,,,,,,0.0,0.0
scenario_probabilities_normalised,,,,,,,PASS,Production ScenarioBundle validates and normalises active weights; independently recalculated in mpc_candidate_rollouts.csv.,,,,,,,0.0,1e-12
controlled_projection,M3,,,,,,PASS,33266 controlled and production projection rows,,,,,,,,
controlled_rcmsa,M4,,,,,,PASS,3 production lower-level problems,,,,,,,,
rcmsa_start_and_final_trial,M4,,,,,,PASS,"true zero-loading start, actual start provenance and final generated trial certification",,,,,,,,
controlled_mpc,M8,,,,,,PASS,exhaustive registered candidate lattice,,,,,,,,
travel_impulse,M10,,,,,,PASS,one-unit pulse on every declared route,,,,,,,,
capacity_impulse,M11,,,,,,PASS,one-unit readiness and direct order through production CapacityDynamics,,,,,,,,
unavailable_route_hold,M25,,,,,,PASS,existing route-tagged mass remains in place with zero service,,,,,,,,
clearance_terminal,M26,,,,,,PASS,"right censoring, two exit channels and exactly one terminal correction",,,,,,,,
chapter4_contract_reinforcement,M27--M30,,,,,,PASS,"master-choice history distance, a_t^{-I}, per-vintage no-reset and complete MPC/selector certificates",,,,,,,,
core_repair_numerical_equivalence,M31,,,,,,PASS,"pre/post repair fixed-point, action, nested objective, upstream-anchor and precision equivalence",,,,,,,,
